S-185,Manganahalli-Ramapura Road,Komaghatta Road,Bedarahalli Road,"Vishweshwaraiah Layout IV th 
Phase",6,"Raja 
-6
Rajeshwarinagara"
S-186,Mylasandra Road,Mysore Road,"Uttarahalli Main Road 
(B.G.S Institute)",BEML Layout (RR Nagar),3,"Raja 
-3
Rajeshwarinagara"
S-187,Hemmigepura (Kodihalli) Road,Uttarahalli Main Road,"BBMP Limit (Near 
NICE Road)",Kodipalya,6,"Raja 
-6
Rajeshwarinagara"
S-188,"Road between Pat anagere Main Road & 
Mylasandra Road
a",Pattanagere Road,Mylasandra Road,BHEL Layout (RR Nagara),2,"Raja 
-2
Rajeshwarinagara"
S-189,Sigehalli Road,Basavanapura Road,"Sonnenahalli Layout 
Road",Sigehalli,3,Byatarayanapura -3
S-190,BHEL Colony Road,Pattanagere Main Road,Ganakallu,"Global Village -BHEL Colony -
Uttarahalli Main Road -Ganakallu",5,"Raja 
-5
Rajeshwarinagara"
S-191,Banasawadi 4th Stage Road,Uttarahalli Main  Road,Kanakapura  Road,Ganakallu - Kariyanapalya,8,"Raja 
-8
Rajeshwarinagara"
S-192,Chikkegowdanapalya  Road,Kodipalya  Road,Kanakapura Road,Ganigarapalya,9,"Raja 
-9
Rajeshwarinagara"
S-193,Bharath Housing Soceity  Road,Uttarahalli Main  Road,BSK 4th Stage,Bharath Housing Society,3,"Raja 
-3
Rajeshwarinagara"
S-194,Bharath Housing Soceity  Road,Uttarahalli Main  Road,BSK 4th Stage,Turahalli,4,"Raja 
-4
Rajeshwarinagara"
S-195,Krishna Rao - Krumbigal  Road,Lalbagh North Gate,MN Krishna Rao Park,Siddaiah Road,2,ORR -2
S-196,Devanga  Road - Lalbagh  Road,Hudson Circle,Lalbagh North Gate,"Basappa Circle - Lalbagh main gate 
- Urvashi Theatre",3,ORR -3
S-197,P Kalinga Rao - Kadidal Manjappa  Road,NR Square (BBMP),Hosur Road,Longfort Town,3,ORR -3
S-198,Rhenius Road,"General Thimmaiah Road 
(Richmond  Road)","Kadidal Manjappa 
(Longford Road)",Hockey Stadium,1,ORR -1
S-199,O' Shaughnessy  Road,"Kadidal Manjappa  Road 
(Longford  Road)",Rhenius  Road,Infront of Baldwin School,1,ORR -1
S-200,Urvashi - Sudhama nagara  Road,JC Road,Bannerghatta  Road,Sudhama nagara - KH Road,4,ORR -4
S-201,Sanatorium  Road,Marigowda Road,Swagath Theatre  Road,Bairasandra Extension,3,ORR -3
S-202,"Byrasandra Main Road - 1st Cross Main  
Road - Sanatorium  Road","10th Main  Road 
(Mariyappa  Road) 
Jayanagara","8th Main  Road 
(Jayanagara)","1st block, Byrasandra Extension",2,ORR -2
S-203,"Pattalamma Temple  Road - Byrasandra 
Main  Road",Armugam Circle,"8th Main  Road (RBI 
Colony, Jayanagara)","Stadium, Jayanagara",3,ORR -3
S-204,2nd Main  Road (Jayanagara),"Nittur Srinivasa  Road 
(South End  Road)",Marenahalli  Road,Jayanagara,3,ORR -3
S-205,27th Cross  Road (Jayanagara),Kanakapura  Road,"11th Main  Road 
(Jayanagara)",Nanda Theatre,2,ORR -2
S-206,9th Main  Road (Jayanagara),Marenahalli  Road,"Kanakanapalya - 4th 
cross (Jayanagara - 2nd
Block)","5th Block Shopping Complex - 4th 
Block (Jayanagara)",5,ORR -5
S-207,"Swagath Theatre Road - 30th Cross Road 
(Jayanagara)",Kanakapura  Road,"Bannerghatta  Road  @
Sagar Appollo","30th Cross  Road - Shopping 
Complex (Jayanagara)",4,ORR -4
S-208,9th Main  Road (Jayanagara),Merenahalli  Road,"30th Cross  Road 
(Jayanagara)","Telephone Exchange - RV Dental 
College - Shopping Complex - 3rd 
Block Elephant Rock  Road",2,ORR -2
S-209,33rd Cross  Road (Jayanagara),"4th Main  Road 
Jayanagara","16th Main  Road - 
Jayanagara",Pattabhiram nagara,2,ORR -2
S-210,36th Cross  Road (Jayanagara),Kanakapura  Road,Tavarekere  Road,"JSS College- Jayanagara 5th Block-
Guruppana palya - Katariram 
nagara",5,ORR -5
S-211,16th Main Road (Jayanagara),"32nd Cross 
Road(Jayanagara)","39th Cross  Road 
(Jayanagara)",Pattabhiram Nagara (Jayanagara),2,ORR -2
S-212,18th Main  Road (Jayanagara),Marenahalli  Road,"32nd Cross  Road 
(Jayanagara)","Krishna & GNR Kalyana mantapa - 
(Jayanagara)",2,ORR -2
S-213,32nd Cross  Road (Jayanagara),East End Road,Church Stop,"Rajiv Gandhi University (Tilak 
nagara)",1,ORR -1
S-214,"26th Cross  Road  (T- Block, Jayanagara)",Marenahalli  Road,"32nd Cross,Tilak 
Nagara Road- 
Jayanagara)","BMTC Bus Stop - Jayanagara - 
General Hospital",2,ORR -2
S-215,"25th - 26th Main Road (Jayanagara -4th 
Block)","Swagath  Road 
(Jayanagara)","Meranahalli  Road 
(South end  Road)",Jayanagara 4th Block - Tilaknagara,2,ORR -2
S-216,8th Main - 20th  Main  Road (Jayanagara),"Swagath  Road 
(Jayangara)",ORR,"4th Block Jayanagara - 3rd phase 
Jayanagara",4,ORR -4
S-217,East End  Road (Jayanagara),Marenahalli  Road,Swagath Road,"Carmel Convent school 
(Tilaknagara)",2,ORR -2
S-218,39th Cross  Road (Jayanagara),"11th Main  
Road(Jayanagara)",Bannerghatta Road,"9th block, Jayanagara",3,ORR -3
S-219,Sarakki Main  Road,Kanakapura  Road,Bannerghatta Road,"Sarakki - JP nagara, 2nd & 3rd 
phase - Oxford Polytechnic college 
junction",5,ORR -5
S-220,Puttenahalli Main  Road,"Kothnur - Puttenahalli  
Road",Bannerghatta  Road,"Brigade Millenium - ULBA -AECS 
- Maruthi College of Science 
(Joining at IIM)",3,Bommanahalli -3
S-221,Arakere Tank Bund  Road,Beereshwaranagara,Bannerghatta  Road,"Brigade Millenium - Holy Mothers 
Engineering School",4,ORR -4
S-222,Mother Theresa - Old Race Course  Road,"General Thimmaiah  
Road",Lower Agaram Road,"Ashoknagara Traffic Police Station 
& ORR Road",2,ORR -2
S-223,Palmgrove  Road - KHB Rahman  Road,Victoria,Bazaar  Road,Victoria Layout,2,ORR -2
S-224,Anepalya Main  Road - Masjid  Road,Hosur Road,Mother Theresa  Road,Nilasandra,3,ORR -3
S-225,"Bazaar Street - Shinvagulu Main  Road 
(Ejipura Main  Road)",Anepalya Main  Road,Inner Ring  Road,"Ejipura - Vivekanagara - 
Nilasandra",3,ORR -3
S-226,New Mico  Road,Bannerghatta  Road,Hosur Road,Mico Sports Complex,1,ORR -1
S-227,Adugodi Main Road,Hosur Road,20th Main  Road,Adugodi,2,ORR -2
S-228,"20th Main Road (Koramangala - 80ft 
Road)",Hosur Road,Peripheral Road,Koramangala,2,ORR -2
S-229,5th Cross Road  (Koramangala),"20th Main  Road (80 ft  
Road, Koramangala)","17th Main  Road 
(100ft  Road 
,Koramangala)",Koramangala,1,ORR -1
S-230,1st A Cross  Road (Koramangala),"20th Main  Road (80ft  
Road,Koramangala)","17th Main road (100ft 
Road,Koramangala)",Koramangala,2,ORR -2
S-231,Tank Bund  Road,Banneghatta  Road,Marigowda  Road,Christ School -Sidduguntapalya,2,ORR -2
S-232,8th Main  Road (Koramangala),"17th Main Road 
(Koramangala)",NH-4,Jakkasandra - Madivala Block,3,ORR -3
S-233,7th Cross  Road (Koramangala),"17th Main  Road 
(Koramangala)","7th Main  Road 
(Koramangala)",Koramangala,2,ORR -2
S-234,1st Main  Road (Koramangala),"7th Main  Road 
(Koramangala)",Sarjapura  Road,1st Block (Koramangala),1,ORR -1
S-235,"20th Main  Road(Maruthinagara Main  
Road)","Merenahalli  Road 
(ORRC)",Hosur Road,Chikkamadivala,2,ORR -2
S-236,"Gurappanapalya Road - Jaibheemanagara  
Road (Madivala)",Bannerghatta Road,Hosur Road,"Guruppanapalya - KEB Layout - 
Chikkamadivala",4,ORR -4
S-237,"7th Main - 13th Main  Road (BTM layout, 
2nd Stage)",Marenahalli  Road(ORR),Madeena Nagara,BTM Layout - 1st Stage,2,Bommanahalli -2
S-238,"29th Main  Road, BTM Layout",Marenahalli  Road (ORR),"16th Main  Road 
Madeenanagara (on 
Madivala Tank)",BTM Layout - 2nd Stage,2,Bommanahalli -2
S-239,Devarachikkanahalli  Road,Banneraghatta  Road,Begur Main  Road,"Bilekahalli - BTM Layout -4th 
Stage - Devarachikkanahalli - 
Rotary nagara",6,Bommanahalli -6
S-240,Bilekahalli - Kodichikkanahalli  Road,Bilekahalli  Road,Viratnagara,Kodichikkanahalli,3,Bommanahalli -3
S-241,Arakere Main Road,Bannerghatta  Road,"Nyanappanahalli Main 
Road",Sarvabhoumanagara - Arakere,4,Bommanahalli -4
S-242,Thayappa Garden  Road,Vijay Enclave,Kempamma Layout,IBPT Petrol Bunk -Saibaba Bunk,2,Bommanahalli -2
S-243,Nethaji  Road,Arakere Main  Road,"Devarachikkanahalli  
Road","BTS Layout - Thayappa garden  
Road",2,Bommanahalli -2
S-244,Yelenahalli  Road,Nyanappanahalli  Road,Begur Main  Road,Doddakammanahalli,10,Bommanahalli -10
S-245,Ring Road,Thayappa Garden  Road,Begur Main  Road,Royal Residency Layout,2,Bommanahalli -2
S-246,"Hulimavu gate- Kemaiah layout - Ittasandra
- Naganathapura Juntion - VGP Layout 
Junction  Road",Hulimavu Gate,VGP Layout Junction.,"Hulimavu Gate- Kemaiah Layout - 
Ittasandra - Naganathapura 
Junction - VGP Layout Junction 
(Kudlu)",15,Bommanahalli -15
S-247,Hulimavu - Nyanappanahalli  Road,Hulimavu  Road,Yelenahalli Road,Hulimavu - Nyanappanahalli,4,Bommanahalli -4
S-248,Chikkabegur Road,Begur Main  Road,Hosur Road,Vishwapriyanagara - Chikkabegur,4,Bommanahalli -4
S-249,Kudlu Road,Hosur Road,BBMP Limit,"AIM Industrial Area - Concord 
Archade - Kudlu - Naganathapura",10,Bommanahalli -10
S-250,Singasandra  Road,Kudlu Road,Kudlu Road,HAL - Silk Board layout,4,Bommanahalli -4
S-251,Garebhavipalya - Bande palya  Road,Begur Main  Road,Hosapalya  Road,Garebhavi palya - Bandepalya,3,Bommanahalli -3
S-252,27th Cross  Road (HSR layout),Hosur Road,"Sarjapura  Road 
(ORR)","Mangammanapalya - Hosapalya - 
Parangi Palya - Vanganahalli - 
Agara",8,Bommanahalli -8
S-253,"Krishna Reddy Industrial Area - Hosapalya 
Road","27th Cross 
(Mangammanapalya )",Kudlu Road,"Krishnareddy Industrial Area - 
Hosapalya",2,Bommanahalli -2
S-254,Somasundrapalya  Road,"Hosapalya (Gollarapalya 
Road Junction)",Haralur  Road,Somasundarapalya,2,Bommanahalli -2
S-255,"17th Main - 22nd Cross  Road(Hosur - 
Sarjapura  Road Layout)","27th Cross 
Road,Yellukunte","24th Main  Road,HSR 
Layout","HSR Layout Sect 3,2",2,Bommanahalli -2
S-256,"5th Main  Road, HSR Layout",ORR,"27th Cross, Yellukunte 
HSR Layout","HSR Layout Sect 3,2",2,Bommanahalli -2
S-257,"9th Main - 17th Cross - 14th Main  Road 
(HSR Layout)",ORR,"27th Cross, Yellukunte 
HSR Layout","HSR Layout Sect 3,2",3,Bommanahalli -3
S-258,Haralur,Sarjapura  Road,Kudlu Road,"Kudlu - Haralur - Green Meadows -
Amblipura",4,Bommanahalli -4
S-259,Chandrapura,Haralur Road,"Kaikondanahalli Main 
Road",Chandrapura,2,Bommanahalli -2
S-260,Bellandur Road,Sarjapura  Road,ORR,ORR - Bellandur,5,"Bommanahalli -1
ORR -4"
S-261,Karmalaram  Road,Sarjapura  Road,Gunjur Road,Kannal - Karmalaram,5,Mahadevapura -5
S-262,Gunjur  Road- Kodathi  Road,Gunjur,BBMP Limit,Mulluru - Shantigiri - Kodathi,8,Mahadevapura -8
S-263,Cambridge  Road,Swamvivekananda  Road,Airport Road,Combridge Layout,2,ORR -2
S-264,"7th Main - 6th Main  Road (Sirdi Saibaba 
Mandir  Road)",Combridge Road,"80ft Indiranagara  
Road",Dr. Ambedkar College,3,ORR -3
S-265,"Jogapalya Road- Shamanna Layout  Road 
(Ulsoor)","Swami Vivekananda  
Road","Sirdi Saibaba mandir  
Road",Shamanna Layout,2,ORR -2
S-266,"Indiranagara Double  Road (1st Main ) 
Domlur - Indiranagara)",Old Madras  Road,"Inner Ring  Road  
(Kodihalli)",Foodworld (Dupanahalli),3,ORR -3
S-267,Gokul Extension  Road,NH-4,"Basavanapura Main  
Road",Gokul Extension,2,Mahadevapura -2
S-268,"12th Main  Road (Indiranagara 
(Dupanahalli)","Indiranangara Double  
Road","80ft Road - 
Indiranagara",Dupanahalli - HAL Stage,2,ORR -2
S-269,"3rd Cross - 13th Main Saidarshan Road- 
10th Main (Jeevanabhimnagara)","Airport  Road @ New 
Shanthisagar Apartments",Suranjadas Road,"Domlur - Dupanahalli - HAL 2nd 
Stage - LIC Colony, 
Jeevanbhimnagar",5,ORR -5
S-270,NR Colony Main  Road,"10th Main  Road 
(Jeevanbheemnagar)",Airport  Road,"Nanjareddy Colony - 
Jeevanbheemnagara",2,ORR -2
S-271,"BEML - Kengal Hanumanthaiah Main  
Road - Namjoshi  Road",80ft Road,Airport - Varthur Road,"GM Palya - Malleshappanapalya - 
New Thippasandra - Vimanapura - 
Vibhuthipura",8,ORR -8
S-272,"LBS Nagara Main Road - Dr. Ambedkar  
Road","Kengal Hanumanthiah  
Road","Annasandrapalya Main
Road","Vimanapura - Lalbahaddur Shastri 
nagara",2,ORR -2
S-273,Annasandrapalya Main  Road,Suranjan Das Road,Namjoshi   Road,Annasandrapalya,3,ORR -3
S-274,Sudduguntepalya - Bairasandra  Road,Suranjan Das Road,Varthur  Road,Sudduguntepalya - Bairasandra,3,ORR -3
S-275,Varthur - Kaggadasapura Main  Road,Old Madras  Road,"Kengal 
Hanumanthaiah  Road",CV Ramannagara - Kaggadasapura,5,ORR -5
S-276,Bairasandra  Road,"Kaggadasapura Main  
Road","Kengal 
Hanumanthaiah Road",Bhuvaneshwarinagara,2,ORR -2
S-277,Whitefield - Kaggadasapura Main Road,White Field,"Kaggadasapura Main 
Road @ Railway Line","Radavala Colony - Mahadevapura 
Cross - Ranganatha Layout -",4,"ORR -2
Mahadevapura -2"
S-278,"Garudacharpalya Road- - Kengal 
Hanumanthaiah Road Vignanagara",White Field,"KH Road @ Namjoshi 
Road  Junction","Mahadevapura Industrial Area, 
Vibhuthinagara",8,"ORR -5
Mahadevapura -3"
S-279,Graphite - India Road,White Field Road,Hudi Main Road,KSSIDC Industrial Estate,2,Mahadevapura -2
S-280,"2nd Main (Vishweshwaraiah Industrial 
Estate) (Doddanekkundi Extension)","Graphite - India Road - 
White Field Road @ 
Interior Systems","Railway Parallel Road 
@ Graphite India 
(Vishweshwaraiah 
Industrial Road)",Vishweshwaraiah Industrial Estate,2,Mahadevapura -2
S-281,"Southern Railway Parallel Line Road 
(Guntur Road)",White Field Road,Panathur Road,"Doddanekkundi Extention - 
Channappanahalli - Gandhinagara 
(Munekollal)",6,Mahadevapura -6
S-282,"Basavanna Main Road Whitefield - 
Graphite Road","Hudi Main Road -White 
Field Road","White Field Road 
Graphite India Road","Seetharampalya - Maruthinagara 
SJR -IT Park - TCS - G'BELL - 
SAP - Rmz",7,Mahadevapura -7
S-283,Borewel Road (White Field),Varthur Road,White Field Road,Nallurahalli - White Field,4,Mahadevapura -4
S-284,"1st Main Road (Pattandur - Agrahara 
Road)",Railway Line,White Field Road,IT Park- White Field,6,Mahadevapura -6
S-285,Sadaramangala Road,"Hudi Main Road 
@Railway Gate Junction",Sadaramangala,Railway Line,3,Mahadevapura -3
