S-37,Promenade Road,Ambedkar Road,St. Johns Church Road,St. Francis Xavier,3,ORR -3
S-38,"Road between Infantry Road - St. Johns 
Church",Infantry Road,St. Johns Church Road,"Dickenson Road  - Sivachetti 
Gardens",3,ORR -3
SL .NO,NAME OF THE ROAD,ORIGIN,DESTINATION,ENROUTE (VIA),"APPR.  LENGTH 
(KM)",ZONE
S-39,Cunnigham Road  - Hospital Road,Chowdaiah Road,Kamaraj Road,"Mount Carmel College- Bowring 
Hospital",4,ORR -4
S-40,Queens Road,Station Road,Raj Bhavan Road,Shivajinagara,2,ORR -2
S-41,Hains Road,MM Road,Hospital Road,Thimmaiah - OPH Road,3,ORR -3
S-42,Thimmaiah Road,Miller Road,Kamaraj Road,Nehrupuram,3,ORR -3
S-43,MV Jayaraman Road  - Station Road,Palace Road,Nethaji Road,Railway Line,3,ORR -3
S-44,Avenue Road  - Palace Road,NR Road @ HPO,"Cunnigham Road &  
upto Chowdaiah Road",Avenue - Palace- Miller Road,7,ORR -7
S-45,Race Course Road,Ananda Rao Circle,MV Jayaraman Road,Race Course- Basaveshwara Circle,4,ORR -4
S-46,"Bhupasandra Road- Vishwanatha 
Nagenahalli Road",Dr. Rajgopal Road,"Kanakanagara Main 
Road","Bhupasandra extension - Hebbal - 
Guddadahalli - 
Vasanthanagenahalli",5,ORR -5
S-47,Kempapaura Main Road Kuvempu Road,Bellary Road,Nagavara main Road,"Coffee Board Layout- Kempapura- 
Mariyannanapalya",4,Byatarayanapura -4
S-48,Thanisandra Road,Srirampura,Thanisandra,Mestripalya - Rachenahalli,4,Byatarayanapura -4
S-49,Byatarayanapura Road,Bellary Road,Navyanagara,Amruthahalli - Jakkur Road,3,Byatarayanapura -3
S-50,Jakkur Road - Sampigehalli Road,Bellary Road,"Thanisandra Road - 
Hosakote Main Road",Sampigehalli,8,Byatarayanapura -8
S-51,Ballahalli Road,Kogilu,Sampigehalli cross,Vinayaka Layout,2,Byatarayanapura -2
S-52,Raithrasanthe Road,Doddaballapura Road,Jakkur Road,"Jakkur- Railway Cross Line- 
Yelahanka",7,Byatarayanapura -7
S-53,Nellukunte - Thimmanahalli Road,Thimmanahalli Road,Kenchenahalli Road,Nellukunte - Thimmanahalli,5,Byatarayanapura -5
S-54,"1st Main Road - (Yalahanka New Town) -
16th B Cross -15th A Cross  -3rd A Main 
Road (Yalahanka Setellite Town)",Atturu Road,"1st A Cross Road at 
Doddaballapura Road","Yelahanka New Town - Yelahanka 
SatelliteTown",9,Byatarayanapura -9
S-55,1st Main Road  (Yelahanka Setellite Town),Doddaballapura Road,Bellary Road,"Chikkabommasandra - Judicial 
Layout - Allalasandra",4,Byatarayanapura -4
S-56,Shingapura - Chikkabettahalli Road,SMR Layout,"Ramagondanahalli 
Road","Lakshmipura Cross - Shingapura - 
Chikkabettahalli",7,"Byatarayanapura -4
Dasarahalli -3"
S-57,Lakshmipura - Guruagrahara Road,Kereguddadahalli,Guruagrahara,Lakshmipura - Guruagrahara,4,Dasarahalli -4
S-58,Ganigarahalli Road,Hesaraghatta Main Road,BBMP Limits,Lakshmipura Cross,7,Dasarahalli -7
S-59,Abbigere Road,Jalahalli Main Road,"Hesaraghatta Main 
Road","Kamakondanahalli - Abbigere     -
Lakshmipura",5,Dasarahalli -5
S-60,Jalahalli - Abbigere Main Road,Jalahalli Main Road,"Hesaraghatta Main 
Road",Ganigarahalli - Tarabanahalli,8,Dasarahalli -8
S-61,GKVK Road,Thindlu,"NH-7 @ L & T 
Factory",GKVK - Rajiv Gandhinagara,5,Byatarayanapura -5
S-62,"N Domodharan - Sahakaranagara Main 
Road",ORR,"Bellary Road  @ 
Kashinagara","Devinagara - Kodigehalli 
Sahakaranagara",6,Byatarayanapura -6
S-63,TATA Nagara Road,Kodigehalli,ORR,TATAnagara,2,Byatarayanapura -2
S-64,"Maruthinagara - Devinagara - Tata Nagara 
Road",Kodigehalli Road,ORR,Badrappa layout,2,Byatarayanapura -2
S-65,New Krishna Temple Road,Vidyaranyapura,"Deshabandhunagara @
Railway Cross",Doddabommasandra,2,Byatarayanapura -2
S-66,Hebbal Take Road,"New Krishna Temple 
Road",NH-7,Nagenahalli,4,Byatarayanapura -4
S-67,Nandini Layout Main Road,"Kanteerava Studio Main 
Road",ORR,Nandini  Layout,3,ORR -3
S-68,Jalahalli - HMT Layout Road,Jalahalli Road,Nanjappa Road,"Jalahalli - HMT Layout - Nanjappa 
Layout",5,"Byatarayanapura -3
Dasarahalli -2"
S-69,Jalahalli -Watch Factory Road,"Ring Road - Kanteerava 
Studio Main Road","Hesaraghatta Main 
Road","Yeshwanthpura Suburb - HMT 
Layout",8,Dasarahalli -8
S-70,Siddarthanagara Road,Jalahalli (HMT),"Subrathomukherjee 
Road",Siddarthanagara,3,Dasarahalli -3
S-71,Mallasandra Road,Railway Line,Pipeline Road,Mallasandra,3,Dasarahalli -3
S-72,Chikkasandra Road,Hesaraghatta Road,"Mallasandra Main 
Road","Chikkasandra (Sapthagiri 
Engineering College)",2,Dasarahalli -2
S-73,Guddadahalli Road,Hesaraghatta Road,Hesaraghatta Road,Guddadahalli,5,Dasarahalli -5
S-74,Jindalnagara Road,"Tumkur Road  @ 
Jindalnagara",Guddadahalli,Jindalnagara,3,Dasarahalli -3
S-75,Defence Colony Road,MEI Housing Colony,"Tumkur Road @ 
Jindalnagara",Jindalnagara,3,Dasarahalli -3
S-76,Pipeline Road -Raghavendra Road,Hesaraghatta Road,Tumkur Road,"Ragahavendra Rao Road- Ayyappa 
temple- Yeshwanthpur Industrial",9,Dasarahalli -6
,,,,,,ORR -3
S-77,Road between NH4- Pipeline Road,NH-4,Pipeline Road,Peenya Industrial Area - I phase,1,Dasarahalli -1
S-78,Bangalore Press Road,NH-4,Pipeline Road,Peenya Industrial Area - I phase,1,Dasarahalli -1
S-79,Ravikirloskar Memorial Hospital Road,NH-4,Pipeline Road,Peenya Industrial Area - I phase,2,Dasarahalli -2
S-80,Mohankumar Road,"Yeshwanthpur Railway 
Station",ORR at Devinagar,Mathikere - Sanjeevappa garden,5,ORR -5
S-81,New BEL Road,"Bashyam Circle 
(Sadashivanagara)",ORR (BEL Circle),"C.V.Raman Road - CPRI Gate 
M.S.R Hospital",7,ORR -7
S-82,D.Rajagopal Road,ORR @ Patelappa Layout,Ballary Road @ IVRI,"Ramakrishnappa Layout 
Gangenahalli, Nagasettihalli",5,ORR -5
S-83,Doddakammanahalli Road,"Amarjyothi Layout - BEL 
Road",Bhupasandra Road,Amarjyothi Layout- RMS Colony,3,ORR -3
