Ward_No,Ward Name,BBMP Zone No,BBMP Zone Name,Assembly constituency No,Assembly constituency name, MP Constituency ,Population 2011,Area (sq km),Households # (Census 2011),# Buildings > G+3,Road length (kms),DWCC #,Lakes #,Lake area (sq m),Parks #,Park area (sq m),Playgrounds #,Playground area (sq m),Govt Schools #,Police stations #,Fire stations #,Bus stops #,BMTC TTMC #,Street lights #,BWSSB service stn,BWSSB sub div,BWSSB divn,BESCOM sub divn,BESCOM divn,Police stn,BBMP Division,BBMP Sub Division,2011 HHs with Tubewells (%age),2011 HHs with Piped sewer(%),2011 HHs with tap water (%age), Population density 2011  (persons per sq km) ,Decadal popn growth rate % 2011/2001,Decadal HHs growth rate 2011/2001 %,Lake name,Bus routes #
11,Kuvempu Nagar,1,Yelahanka,155,Byatarayanapura,Bangalore North,37128,7.1,8519,254,95,1,1,238723,13,35070.75,0,0,7,1,0,23,0,2039,"Yelahanaka Old Town, Jakkur","Sahakara Nagar,MEI Layout(Dasarahalli)",NORTH,"C3,C7","Central,Additional Central",Gangammana Gudi,Byatarayanapura,Vidyaranyapura,40.5,24.8,25.1,"5,207",46.80%,53.20%,Shingapura,71
12,Shettihalli,3,Dasarahalli,155,Dasarahalli,Bangalore North,61071,8.1,15530,745,144,1,2,238123,8,42283.17,1,426,5,0,0,45,0,3193,"HBR, Jakkur",MEI Layout(Dasarahalli),NORTH,"C3,N5","Additional North,Central",,Dasarahalli,Shetty halli,26.2,45.7,40.6,"7,521",115.70%,131.10%,"Kammagondanahalli,Abbigere",107
13,Mallasandra,3,Dasarahalli,155,Dasarahalli,Bangalore North,41482,1.3,11221,223,40,1,1,46615,5,11825.01,1,964,3,0,0,1,0,1613,"HBR, Yelahanka New Town, Jakkur, Sahakara Nagar, Sanjay Nagar, Ananda Nagar",MEI Layout (Dasarahalli),NORTH,N5,Additional North,,Dasarahalli,Shetty halli,44,70,37.7,"31,753",58.00%,93.20%,Mallasandra - Guddekere,1
14,Bagalakunte,3,Dasarahalli,155,Dasarahalli,Bangalore North,65113,4.3,17117,810,123,1,0,0,8,20434.85,3,44675,3,0,0,26,0,3469,"Bhahubali Nagar, Sahakara Nagar, Vidhyaranyapura, Sanjay Nagar, Ananda Nagar","Peenya,MEI Layout(Dasarahalli)","NORTH-WEST, NORTH","N4,N5",Additional North,,Dasarahalli,T.Dasarahalli,37.5,71.9,42.6,"15,203",130.00%,137.00%,,159
15,T Dasarahalli,3,Dasarahalli,155,Dasarahalli,Bangalore North,33042,0.9,8849,289,29,0,0,0,0,0,0,0,3,0,0,5,1,1364,"Bhahubali Nagar, Yelahanka New Town, Sahakara Nagar, Vidhyaranyapura","Peenya,MEI Layout(Dasarahalli)","NORTH-WEST, NORTH","N4,N5",Additional North,,Dasarahalli,T.Dasarahalli,31.1,95.1,52.1,"37,474",26.80%,32.10%,,194
16,Jalahalli,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,37959,5.2,9191,245,36,1,0,0,21,177049,5,64023,4,1,0,33,1,1899,"Vishveshwaraiah layout, BEML Layout, Kengeri","R T Nagar,MEI Layout(Dasarahalli)","NORTH-EAST, NORTH","C3,N5","Additional North,Central",Jalahalli,Yeshwanthpura,Yeshwanthpura,31.3,84.4,61.6,"7,354",30.70%,37.30%,,122
17,J P Park,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,49610,2,12553,530,52,1,1,302001,4,359434.43,1,5432,2,0,0,18,0,1878,"MEI Layout (Dasarahalli), Peenya, Peenya Dasarahalli, Heggana Halli, Vishveshwaraiah layout","R T NagarMalleshwaram,MEI Layout(Dasarahalli)","NORTH-EAST, NORTH","C3,C4,C6,N5","Additional Central,Additional North,Central",,Yeshwanthpura,Yeshwanthpura,12.8,96.1,78.8,"24,203",41.00%,54.10%,JP Park (Matthikere),118
18,Radhakrishna Temple Ward,7,East,158,Hebbal,Bangalore North,35122,1.9,9058,593,54,1,1,80474,29,74683.61,2,9799,1,1,0,18,0,2217,"Heggana Halli, Vishveshwaraiah layout, Nagarabhavi",R T Nagar,NORTH-EAST,"C3,C4,C6","Additional Central,Central",Sanjay Nagar,Hebbal,Hebbal,9.3,95.8,86.7,"18,014",36.30%,48.20%,Gedlahalli,54
19,Sanjaya Nagar,7,East,158,Hebbal,Bangalore North,32491,1.5,8153,414,44,1,0,0,21,37718.13,3,9231,2,0,0,9,0,1720,"Bhahubali Nagar, New BEL Road","R T Nagar,Sahakara Nagar","NORTH-EAST, NORTH","C4,C6","Additional Central,Central",,Hebbal,Hebbal,10.3,96.9,86.3,"21,096",34.40%,45.10%,,29
20,Ganga Nagar,7,East,158,Hebbal,Bangalore North,27361,2.3,6592,445,31,1,0,0,7,9386.52,3,15535,2,0,0,23,0,1647,"PP Layout, Hosakerehalli, Girinagara, Chandra Layout, BEML Layout, Ideal Homes Layout, Kengeri","R T Nagar,Sahakara Nagar","NORTH-EAST, NORTH",C4,Additional Central,,Hebbal,Hebbal,5.6,98.2,88.5,"12,096",4.20%,13.80%,,207
21,Hebbala,7,East,158,Hebbal,Bangalore North,32516,1.2,8181,383,36,2,0,0,10,13100.59,4,13277,3,1,0,10,0,1489,"Bhahubali Nagar, Yeshwanthpura, New BEL Road,",R T Nagar,NORTH-EAST,"C4,C5",Additional Central,Hebbal,Hebbal,Hebbal,8.4,96.9,87.9,"26,455",34.60%,43.40%,,45
22,Vishwanath Nagenahalli,7,East,158,Hebbal,Bangalore North,51592,1.5,12704,472,51,1,0,0,0,0,4,10540,4,0,0,8,0,2886,Yeshwanthpura ,"HRBR,R T Nagar","EAST, NORTH-EAST","C4,C5,E8","Additional Central,Additional East",,Hebbal,J.C. Nagar,7.9,94.8,83.6,"34,772",100.80%,117.60%,,14
23,Nagavara,7,East,160,Sarvagna Nagar,Bangalore Central,60483,2.1,12295,230,65,1,0,0,0,0,0,0,7,0,0,14,0,768,"MEI Layout (Dasarahalli),  Bhahubali Nagar, Malleshwarm, Yeshwanthpura, Nandini Layout, Peenya, Peenya Dasarahalli","HRBR,Frazer Town,R T Nagar,Yelahanka","EAST, CENTRAL, NORTH-EAST, NORTH","C5,E1,E8","Additional Central,Additional East",,Sarvajna Nagar,HBR Layout,20.9,41.5,65.7,"29,205",71.50%,89.50%,,67
24,HBR Layout,7,East,160,Sarvagna Nagar,Bangalore Central,58967,4.6,13612,670,119,2,1,91057,11,33641.57,1,4808,5,1,0,33,1,1043,"Nandini Layout,  Peenya, Peenya Dasarahalli","HRBR,Frazer own, Yelahanka","EAST, CENTRAL, NORTH","E1,E5,E8",Additional East,Hennur,Sarvajna Nagar,HBR Layout,14.1,69.9,72.1,"12,717",83.40%,108.00%,Kacharakanahalli,145
25,Horamavu,2,Mahadevapura,151,K.R. Puram,Bangalore North,95368,17.5,23999,1443,341,1,5,972443,6,35194.28,3,16129,13,2,0,57,1,4004,"Mahalashmi Layuot, Nandini Layout, Peenya, Peenya Dasarahalli, Heggana Halli","HRBR,K R Puram",EAST,"E7,E8","Additional East,East","Ramamurhy Nagar, Kothanur",K.R.Puram,Horamaavu,39.1,44.1,34.3,"5,437",238.60%,288.00%,"Horamavu,Chellakere,Horamavu Agara,Kallakere,Nagaresewara Nagenhalli",141
26,Ramamurthy Nagar,2,Mahadevapura,151,K.R. Puram,Bangalore North,47358,7.3,11674,537,144,1,0,0,2,3879.96,1,855,5,0,0,26,0,3042,"Kamakshipalya,  WCR-II (Kamalanagara), Peenya, Heggana Halli, Chandra Layout, Moodala Playa, Nagarabhavi, Vijaya Nagar OHT",K R Puram,EAST,"E7,E8","Additional East,East",,K.R.Puram,Horamaavu,44.2,16.3,29.9,"6,523",115.30%,143.50%,,41
27,Banasavadi,7,East,160,Sarvagna Nagar,Bangalore Central,51268,3.4,12922,929,101,1,1,79263,17,112570.79,3,23604,4,1,1,31,0,2727,"MEI Layout (Dasarahalli), Bhahubali Nagar",HRBR,EAST,"E7,E8","Additional East,East",Banasawadi,Sarvajna Nagar,Maruthi Seva Nagar,5.6,91.9,84.6,"14,940",60.20%,75.60%,Channasandra - 2,78
28,Kammanahalli,7,East,160,Sarvagna Nagar,Bangalore Central,47074,1,11479,226,43,1,2,79942,2,3783.78,3,10665,1,0,0,9,0,1427,"MEI Layout (Dasarahalli), Peenya Dasarahalli","HRBR,Frazer Town","EAST, CENTRAL","E5,E7,E8","Additional East,East",,Sarvajna Nagar,Maruthi Seva Nagar,1.2,92.7,92.5,"45,494",35.20%,46.30%,"Lingarajapura,Byataguntepalya",47
29,Kacharkanahalli,7,East,160,Sarvagna Nagar,Bangalore Central,33588,1.7,8700,612,55,1,0,0,4,12951.95,0,0,1,0,0,25,0,1671,"MEI Layout (Dasarahalli), Bhahubali Nagar, Peenya Dasarahalli","HRBR,Frazer Town","EAST, CENTRAL","E5,E8",Additional East,,Sarvajna Nagar,Maruthi Seva Nagar,1.6,98,95.7,"19,916",15.70%,28.40%,,78
30,Kadugondanahalli,7,East,160,Sarvagna Nagar,Bangalore Central,45748,0.7,9758,118,32,1,0,0,3,5235.53,0,0,2,0,0,8,0,1561,"Peenya, Peenya Dasarahalli","HRBR,Frazer Town","EAST, CENTRAL","C5,E1,E5,E8","Additional Central,Additional East",,Sarvajna Nagar,HBR Layout,6.5,87.1,80.2,"65,514",31.30%,49.70%,,45
31,Kushal Nagar,7,East,159,Pulakeshi Nagar (SC),Bangalore North,41936,0.6,8192,82,28,1,0,0,1,596.1,0,0,3,0,0,12,0,993,"Peenya Dasarahalli, Peenya, Heggana Halli",Frazer Town,CENTRAL,"C5,E1","Additional Central,Additional East",,Pulikeshi Nagar,K.G. Halli,2.4,95.5,91.4,"65,064",23.20%,35.20%,,46
32,Kaval Bairasandra,7,East,159,Pulakeshi Nagar (SC),Bangalore North,39334,1.6,9540,506,50,2,0,0,4,7208.17,1,3664,1,0,0,17,0,1881,"Peenya,  Heggana Halli","HRBR,Frazer Town,R T Nagar","EAST, CENTRAL, NORTH-EAST","C4,C5,E8","Additional Central,Additional East",,Pulikeshi Nagar,K.G. Halli,7.3,98.1,86.8,"24,771",48.20%,56.80%,,42
33,Manorayana Palya,7,East,158,Hebbal,Bangalore North,47926,0.8,10572,402,33,2,0,0,1,2710.87,2,1996,4,1,0,5,0,1804,"Kamakshipalya, WCR-II (Kamalanagara), Heggana Halli, Vijaya Nagar  OHT","R T Nagar,Malleshwaram",NORTH-EAST,"C4,C5,E1","Additional Central,Additional East",RT Nagar,Hebbal,J.C. Nagar,31.7,97.2,62.2,"59,123",37.80%,48.40%,,52
34,Gangenahalli,7,East,158,Hebbal,Bangalore North,24308,1.1,6058,359,20,1,0,0,2,17153.05,0,0,2,0,0,13,0,1889,"Mahalashmi Layuot,  Nandini Layout, Peenya, Peenya Dasarahalli","R T Nagar,Malleshwaram",NORTH-EAST,"C4,E1","Additional Central,Additional East",,Hebbal,J.C. Nagar,2.1,99.3,93.6,"22,226",-2.60%,3.90%,,128
35,Aramane Nagara,5,West,157,Malleshwaram,Bangalore North,36738,7.5,8825,948,57,1,1,138784,22,1150100.84,4,42436,1,1,0,46,0,2670,"Yeshwanthpura, Kethamarana Halli, Mahalashmi Layuot, Nandini Layout","Chicklalbagh,HGR,R T Nagar,Malleshwaram,Malleshwaram","CENTRAL, NORTH-EAST","C2,C4,C6,E1,W4","Additional Central,Additional East,Central,West",Sadashiva Nagar,Malleshwaram,Mattikere,9.7,97.9,88.8,"4,919",20.90%,33.30%,Sankey's Tank,509
36,Mattikere,5,West,157,Malleshwaram,Bangalore North,37036,0.9,9592,274,32,1,0,0,8,10283.15,3,3650,4,0,0,8,0,2484,"Yeshwanthpura, Kethamarana Halli, Mahalashmi Layuot, Nandini   Layout, Rajaji Nagar, WCR-I, WCR-II (Kamalanagara)","R T Nagar,Malleshwaram",NORTH-EAST,"C3,C4,C6","Central,Additional Central",,Malleshwaram,Mattikere,7.5,89,81.9,"41,069",3.20%,11.80%,,116
37,Yeshwanthpura,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,41107,0.8,10326,384,25,0,0,0,3,2123.13,1,8251,3,0,0,5,0,990,"Mahalashmi Layuot, Nandini Layout",Malleshwaram,NORTH-EAST,"C6,N5","Additional North,Central",,Yeshwanthpura,Yeshwanthpura,2.4,94.2,87.9,"53,039",14.30%,28.60%,,24
38,HMT Ward,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,36879,5.2,9524,790,74,0,0,0,14,53534.3,2,9804,2,1,0,34,0,1845,"WCR-I, WCR-II (Kamalanagara), Heggana Halli","Malleshwaram,Rajaji Nagar,Peenya,MEI Layout(Dasarahalli)","NORTH-WEST, NORTH-EAST, NORTH","C1,N4,N5,N7","Additional North,Central",Peenya,Yeshwanthpura,Goraguntepalya,11.8,80.6,69.3,"7,053",23.90%,31.70%,,297
39,Chokkasandra,3,Dasarahalli,155,Dasarahalli,Bangalore North,59289,3.8,16537,529,75,1,1,63616,13,44551.24,1,7498,4,1,0,31,0,2088,"WCR-I, Mahalashmi Layuot, WCR-II (Kamalanagara), Peenya, Heggana Halli",Peenya,NORTH-WEST,"N4,N5",Additional North,Peenya,Hegganahalli,Peenya Industrial Town,20.4,77.4,42.9,"15,752",96.90%,106.40%,Dasarahalli,139
40,Dodda Bidarakallu,4,Rajarajeshwari,153,Yeshwantpura,Bangalore North,72794,12.9,19506,491,282,1,3,227210,17,62276.02,5,30159,9,0,0,55,0,3589,"LLR, HGR, Malleshwarm, Yeshwanthpura, KG Tower,  Jayamahal, Kumara Park, Gangena Halli, New BEL Road, Sanjay Nagar","Peenya,Nagarabhavi (Ring Road),MEI Layout(Dasarahalli)","NORTH-WEST, NORTH","N4,N5,N6","Additional North,North",,Kengeri,Herohalli,46.7,32.3,30,"5,649",276.20%,309.60%,"Lingadeeranahalli,Handrahalli,Doddabidarakallu",196
41,Peenya Industrial Area,3,Dasarahalli,155,Dasarahalli,Bangalore North,57814,5.5,15805,837,90,1,2,269105,9,33736.14,0,0,5,0,1,34,0,2518,"Yeshwanthpura, New BEL Road",Peenya,NORTH-WEST,"N4,N5,N6","Additional North,North",,Hegganahalli,Peenya Industrial Town,17.9,76.7,57.8,"10,423",110.50%,121.20%,"Narasappanahalli,Nallakadirenahalli",92
42,Lakshmi Devi Nagar,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,41352,1.5,10620,511,36,2,0,0,4,17282.07,3,9673,3,1,0,16,0,2354,"Malleshwarm, KG Tower, Kumara Park","Peenya,Rajaji nagar",NORTH-WEST,"N4,N5,N7",Additional North,RMC Yard,Yeshwanthpura,Goraguntepalya,17.2,87.5,68.4,"27,325",61.70%,71.00%,,119
43,Nandini Layout,5,West,156,Mahalakshmi Layout,Bangalore North,51200,1.4,13291,575,49,1,0,0,24,82807.54,3,13394,1,1,0,21,0,2864,"Malleshwarm, Srirampura,  KG Tower, Kethamarana Halli","Rajaji Nagar,Peenya",NORTH-WEST,"N4,N7",Additional North,Nandini Layout,Mahalakshmi Layout,Mahalakshmi Layout,1.5,98,97.1,"36,191",49.20%,57.90%,,41
44,Marappana Palya,5,West,156,Mahalakshmi Layout,Bangalore North,40212,2,10051,487,52,1,0,0,11,25569.19,2,7278,2,0,1,13,0,1303,"Srirampura, Yeshwanthpura, Kethamarana Halli, Nandini Layout","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","N1,N5,N7","Additional North,North",,Mahalakshmi Layout,Mahalakshmi Layout,2,94.8,92.9,"19,785",18.30%,28.50%,,235
45,Malleshwaram,5,West,157,Malleshwaram,Bangalore North,34196,1.8,8503,373,34,1,0,0,4,13706.6,0,0,4,1,0,26,0,1673,"Bhashyam Park, Srirampura, Kethamarana Halli, Rajaji Nagar","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,C2,C6,N5","Additional North,Central",Yeshwanth Pura,Malleshwaram,Mattikere,2.3,96.3,93.1,"18,939",-5.90%,-0.20%,,319
46,Jayachamarajendra Nagar,7,East,158,Hebbal,Bangalore North,31449,0.9,7696,427,29,1,0,0,8,16200.7,1,10075,3,0,0,14,0,2280,"New BEL Road, Sanjay Nagar","R T Nagar,Malleshwaram",NORTH-EAST,"C4,C5,E1","Additional Central,Additional East",,Hebbal,J.C. Nagar,5.6,99.4,80.9,"35,246",2.30%,14.50%,,95
47,Devara Jeevanahalli,7,East,159,Pulakeshi Nagar (SC),Bangalore North,42135,1.4,8941,54,28,1,0,0,4,8179.71,1,1709,2,0,0,6,0,1116,"Sahakara Nagar, Sanjay Nagar ","Frazer Town,R T Nagar,Malleshwaram","CENTRAL, NORTH-EAST","C4,C5,E1","Additional Central,Additional East",,Pulikeshi Nagar,Pulikeshi Nagar,10.8,84.6,69.4,"30,833",25.80%,35.20%,,36
48,Muneshwara Nagar,7,East,159,Pulakeshi Nagar (SC),Bangalore North,35814,0.5,7419,36,21,1,0,0,1,742.8,1,4742,5,0,0,0,0,666,"Sahakara Nagar, Gangena Halli . RT Nagar, Sanjay Nagar, Ananda Nagar",Frazer Town,CENTRAL,"C5,E1","Additional Central,Additional East",,Pulikeshi Nagar,K.G. Halli,0.2,92.2,91.6,"74,511",17.40%,26.90%,,3
49,Lingarajapura,7,East,160,Sarvagna Nagar,Bangalore Central,37955,0.9,8850,241,36,1,0,0,6,11588.55,1,9713,4,0,0,7,0,1312,"RT Nagar, Sanjay Nagar, Ananda Nagar","HRBR,Frazer Town","EAST, CENTRAL","E1,E5",Additional East,,Sarvajna Nagar,Maruthi Seva Nagar,8.4,91.2,83.5,"43,274",17.20%,29.70%,,50
50,Benniganahalli,7,East,161,C.V. Ramannagar (SC),Bangalore Central,49094,4.9,12384,717,64,1,1,28748,36,105644.64,0,0,5,1,0,30,1,2103,"HBR, RT Nagar, Ananda Nagar","HRBR,A.Narayanapura,Frazer Town, Indiranagara","EAST, CENTRAL, SOUTH EAST","E1,E5,E6,E7,E8","Additional East,East",Baiyappanahalli,C.V.Raman Nagar,C.V.Raman Nagar,5.8,87.8,79.3,"9,980",53.50%,67.40%,B Channasandra,258
51,Vijnanapura,2,Mahadevapura,151,K.R. Puram,Bangalore North,46159,2.1,11087,288,55,0,0,0,7,11927.75,1,3809,2,0,0,11,0,1847,"Jayamahal, Gangena Halli, RT Nagar, Ananda Nagar","HRBR,K R Puram,A.Narayanapura",EAST,"E7,E8,E4","Additional East,East",,K.R.Puram,Horamaavu,24.3,32.5,45.2,"22,464",31.60%,42.50%,,69
52,KR Puram,2,Mahadevapura,151,K.R. Puram,Bangalore North,35168,4.8,8961,560,83,1,3,332124,9,12806.52,1,8851,3,1,0,14,0,2453,"Jayamahal,  Gangena Halli",K R Puram,EAST,E7,East,Krishnarajapuram,K.R.Puram,K.R.Puram,31.9,45.8,37.9,"7,308",32.80%,52.80%,"Kavudenahalli,Vengaiah / K.R.Puram,Bhattarahalli",127
53,Basavanapura,2,Mahadevapura,151,K.R. Puram,Bangalore North,48585,6.3,11936,519,126,1,3,206069,7,4816.87,1,5086,7,0,0,8,1,2213,"Jayamahal, Gangena Halli, RT Nagar","K R Puram,AECS Layout",EAST,"E4,E7",East,,K.R.Puram,K.R.Puram,25.5,22.3,42.1,"7,740",120.70%,134.00%,"Dyavasandra,Basavanapura,Seegehalli",110
54,Hudi,2,Mahadevapura,174,Mahadevapura,Bangalore Central,50191,15,12579,759,197,1,3,296464,7,20559.83,0,0,13,0,1,41,0,3478,"Pillana Garden-1, Pillana Garden-2","K R Puram,AECS Layout",EAST,"E4,E7,E8","East,Additional East",,Mahadevapura,Hoodi,30.6,7.8,30.1,"3,349",142.50%,168.20%,"Sadara mangala,Hoodi Kere -2,Jimkenahalli",229
55,Devasandra,2,Mahadevapura,151,K.R. Puram,Bangalore North,33946,3.5,8638,254,45,1,4,138527,1,46959.59,0,0,6,1,0,15,0,890,"Pillana Garden-1, Pillana Garden-2,  HBR, Gangena Halli, RT Nagar, Ananda Nagar","K R Puram,A.Narayanapura,AECS Layout",EAST,"E4,E7",East,Mahadevapura,K.R.Puram,K.R.Puram,12.6,14.3,49.6,"9,754",53.90%,69.70%,"Mahadevapura,Gangashetty Kere,Vijanapura,Vijinapura - 42",250
56,A Narayanapura,2,Mahadevapura,151,K.R. Puram,Bangalore North,43443,2.1,11039,269,52,1,2,141307,1,3232.73,1,4734,4,0,0,7,0,2994,"Pillana Garden-1, Jayamahal, Gangena Halli, RT Nagar","K R Puram,A.Narayanapura,Indiranagara","EAST, SOUTH EAST","E4,E7",East,,K.R.Puram,HAL. Airport,26.2,27.3,18.6,"20,286",47.70%,62.30%,"B Narayanapura,KR Puram ( BEML Kere)",257
57,C.V. Raman Nagar,7,East,161,C.V. Ramannagar (SC),Bangalore Central,58815,3.6,16710,1104,67,1,1,143548,2,1391.3,1,3302,5,0,0,20,0,1639,Pillana Garden-1,"A.Narayanapura,Indiranagara","EAST, SOUTH EAST","E6,E7,S7","Additional South,East",,C.V.Raman Nagar,C.V.Raman Nagar,41.5,91,42.7,"16,379",97.60%,125.80%,Kaggadasapura,216
58,New Tippa Sandra,7,East,161,C.V. Ramannagar (SC),Bangalore Central,43983,3.4,12200,782,68,1,1,28811,10,32901.02,1,12550,4,1,0,18,0,2127,"Frazer Town, Pillana Garden-1,  Pillana Garden-2, Machalibetta","A.Narayanapura,Indiranagara","EAST, SOUTH EAST","E6,E7,S7","Additional South,East",Jeevan Bima Nagar,C.V.Raman Nagar,C.V.Raman Nagar,8.5,92.3,79.4,"13,085",27.20%,44.60%,Kelegena Byrasandra,44
59,Maruthi Seva Nagar,7,East,160,Sarvagna Nagar,Bangalore Central,40362,2.4,10113,430,45,2,1,46330,6,12103.5,4,25490,6,0,0,9,0,1747,"Frazer Town,  Pillana Garden-1, Gangena Halli","HRBR,Frazer Town,Indiranagara","EAST, CENTRAL, SOUTH EAST","E1,E5",Additional East,,Sarvajna Nagar,Maruthi Seva Nagar,3.8,94.9,93,"16,942",12.70%,26.50%,Byappanahalli,102
